"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)",
"0500000US51001","Accomack County, Virginia","57500","7110",
"0500000US51003","Albemarle County, Virginia","102617","3655",
"0500000US51005","Alleghany County, Virginia","55160","3351",
"0500000US51007","Amelia County, Virginia","66339","8817",
"0500000US51009","Amherst County, Virginia","67298","4455",
"0500000US51011","Appomattox County, Virginia","62337","7551",
"0500000US51013","Arlington County, Virginia","140160","3591",
"0500000US51015","Augusta County, Virginia","79972","4036",
"0500000US51017","Bath County, Virginia","61709","19195",
"0500000US51019","Bedford County, Virginia","77644","2965",
"0500000US51021","Bland County, Virginia","61375","4954",
"0500000US51023","Botetourt County, Virginia","80467","4834",
"0500000US51025","Brunswick County, Virginia","52978","3501",
"0500000US51027","Buchanan County, Virginia","42216","3582",
"0500000US51029","Buckingham County, Virginia","59199","5693",
"0500000US51031","Campbell County, Virginia","62608","4233",
"0500000US51033","Caroline County, Virginia","86267","8648",
"0500000US51035","Carroll County, Virginia","52575","4461",
"0500000US51036","Charles City County, Virginia","70339","4388",
"0500000US51037","Charlotte County, Virginia","48892","10113",
"0500000US51041","Chesterfield County, Virginia","98910","1898",
"0500000US51043","Clarke County, Virginia","114185","9263",
"0500000US51045","Craig County, Virginia","67778","14551",
"0500000US51047","Culpeper County, Virginia","96098","5662",
"0500000US51049","Cumberland County, Virginia","57057","3876",
"0500000US51051","Dickenson County, Virginia","43831","3611",
"0500000US51053","Dinwiddie County, Virginia","83898","6591",
"0500000US51057","Essex County, Virginia","56481","7411",
"0500000US51059","Fairfax County, Virginia","150113","1612",
"0500000US51061","Fauquier County, Virginia","129495","5639",
"0500000US51063","Floyd County, Virginia","61401","9002",
"0500000US51065","Fluvanna County, Virginia","91959","5523",
"0500000US51067","Franklin County, Virginia","68348","3730",
"0500000US51069","Frederick County, Virginia","95603","3560",
"0500000US51071","Giles County, Virginia","64819","3998",
"0500000US51073","Gloucester County, Virginia","83689","5736",
"0500000US51075","Goochland County, Virginia","118695","8365",
"0500000US51077","Grayson County, Virginia","42864","3634",
"0500000US51079","Greene County, Virginia","85268","5185",
"0500000US51081","Greensville County, Virginia","56759","8679",
"0500000US51083","Halifax County, Virginia","49244","3702",
"0500000US51085","Hanover County, Virginia","109504","3618",
"0500000US51087","Henrico County, Virginia","86397","1572",
"0500000US51089","Henry County, Virginia","48445","3129",
"0500000US51091","Highland County, Virginia","62946","11045",
"0500000US51093","Isle of Wight County, Virginia","96118","3722",
"0500000US51095","James City County, Virginia","107046","4875",
"0500000US51097","King and Queen County, Virginia","72851","14580",
"0500000US51099","King George County, Virginia","110517","8041",
"0500000US51101","King William County, Virginia","85212","6750",
"0500000US51103","Lancaster County, Virginia","67169","5573",
"0500000US51105","Lee County, Virginia","42269","3974",
"0500000US51107","Loudoun County, Virginia","178707","3411",
"0500000US51109","Louisa County, Virginia","80343","8971",
"0500000US51111","Lunenburg County, Virginia","54460","6742",
